Time(nanoseconds=1760079956871867158, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10468933
Time(nanoseconds=1760079957071560142, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.105844125
Time(nanoseconds=1760079957270569639, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10713432
Time(nanoseconds=1760079957470488210, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10653799
Time(nanoseconds=1760079957671794864, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10677752
Time(nanoseconds=1760079957871656242, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10777489
Time(nanoseconds=1760079958071817188, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10760158
Time(nanoseconds=1760079958271332238, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.106429346
Time(nanoseconds=1760079958471895344, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10669975
Time(nanoseconds=1760079958671997088, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10493292
Time(nanoseconds=1760079958871636592, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10549794
Time(nanoseconds=1760079959071758907, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10825056
Time(nanoseconds=1760079959272031995, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.108440146
Time(nanoseconds=1760079959471731960, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10865121
Time(nanoseconds=1760079959671722062, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10862768
Time(nanoseconds=1760079959871953730, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10960452
Time(nanoseconds=1760079960071554782, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.11059952
Time(nanoseconds=1760079960271499283, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.111836225
Time(nanoseconds=1760079960471884084, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.11181971
Time(nanoseconds=1760079960672867941, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.11204164
Time(nanoseconds=1760079960870152717, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.11188222
Time(nanoseconds=1760079961071637255, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.11216486
Time(nanoseconds=1760079961271550725, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.11346506
Time(nanoseconds=1760079961469682362, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.11336081
Time(nanoseconds=1760079961671672583, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.11266197
Time(nanoseconds=1760079961871831529, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.11105446
Time(nanoseconds=1760079962071853482, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.11200034
Time(nanoseconds=1760079962271707741, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.11163869
Time(nanoseconds=1760079962469807857, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.11190041
Time(nanoseconds=1760079962671392458, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.11138072
Time(nanoseconds=1760079962871942353, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.11169086
Time(nanoseconds=1760079963073630687, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.1122348
Time(nanoseconds=1760079963272121023, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.11193535
Time(nanoseconds=1760079963472073754, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.11184206
